Date/Time,Location,Temperature (°C),Humidity (%),Rainfall (mm)
2000-01-01,Pune,19.03,61.71,3.4
2000-01-01,Mumbai,20.02,52.41,1.92
2000-01-01,Delhi,20.08,80.61,1.98
2000-01-01,Chennai,9.94,38.83,1.5
2000-01-01,Bangalore,22.09,50.54,2.58
2000-01-01,Hyderabad,14.59,41.2,1.85
2000-01-01,Kolkata,17.37,66.03,3.38
2000-01-01,Jaipur,19.02,58.88,2.04
2000-01-02,Pune,13.84,49.46,0.75
2000-01-02,Mumbai,22.42,69.53,1.59
2000-01-02,Delhi,21.34,48.27,5.63
2000-01-02,Chennai,15.1,69.08,5.13
2000-01-02,Bangalore,25.9,58.98,4.76
2000-01-02,Hyderabad,17.3,66.42,4.8
2000-01-02,Kolkata,19.14,24.14,7.19
2000-01-02,Jaipur,21.96,51.75,3.28
2000-01-03,Pune,18.65,51.5,4.88
2000-01-03,Mumbai,22.45,45.22,0.31
2000-01-03,Delhi,19.79,58.28,3.47
2000-01-03,Chennai,15.52,52.69,0.88
2000-01-03,Bangalore,20.91,38.73,1.76
2000-01-03,Hyderabad,27.22,78.46,1.16
2000-01-03,Kolkata,13.41,55.64,1.75
2000-01-03,Jaipur,15.76,35.24,6.37
2000-01-04,Pune,21.86,57.88,1.75
2000-01-04,Mumbai,11.83,26.06,2.33
2000-01-04,Delhi,12.37,67.8,0.21
2000-01-04,Chennai,23.4,48.39,3.08
2000-01-04,Bangalore,24.21,67.64,2.41
2000-01-04,Hyderabad,19.49,51.66,3.61
2000-01-04,Kolkata,11.89,83.06,2.37
2000-01-04,Jaipur,23.43,46.85,2.49
2000-01-05,Pune,16.6,55.44,2.91
2000-01-05,Mumbai,24.99,50.84,2.58
2000-01-05,Delhi,8.8,69.33,0.15
2000-01-05,Chennai,21.37,57.74,4.49
2000-01-05,Bangalore,19.46,74.82,1.06
2000-01-05,Hyderabad,24.7,47.3,0.81
2000-01-05,Kolkata,27.58,62.7,1.75
2000-01-05,Jaipur,20.25,50.84,0.56
2000-01-06,Pune,21.84,51.1,1.57
2000-01-06,Mumbai,21.23,52.86,1.76
2000-01-06,Delhi,16.88,52.06,2.35
2000-01-06,Chennai,17.1,31.27,0.15
2000-01-06,Bangalore,21.33,54.24,2.39
2000-01-06,Hyderabad,19.49,49.85,8.52
2000-01-06,Kolkata,17.0,68.02,7.8
2000-01-06,Jaipur,20.11,63.06,1.56
2000-01-07,Pune,11.33,38.96,0.48
2000-01-07,Mumbai,26.52,39.02,0.44
2000-01-07,Delhi,12.17,58.54,4.6
