Date/Time,Location,Temperature (°C),Humidity (%),Rainfall (mm)
1990-01-01,Pune,21.39,56.94,7.78
1990-01-01,Mumbai,21.39,56.94,7.78
1990-01-01,Delhi,21.39,56.94,7.78
1990-01-01,Chennai,21.39,56.94,7.78
1990-01-01,Bangalore,21.39,56.94,7.78
1990-01-01,Hyderabad,21.39,56.94,7.78
1990-01-01,Kolkata,21.39,56.94,7.78
1990-01-01,Jaipur,21.39,56.94,7.78
1990-01-02,Pune,19.74,54.35,0.56
1990-01-02,Mumbai,19.74,54.35,0.56
1990-01-02,Delhi,19.74,54.35,0.56
1990-01-02,Chennai,19.74,54.35,0.56
1990-01-02,Bangalore,19.74,54.35,0.56
1990-01-02,Hyderabad,19.74,54.35,0.56
1990-01-02,Kolkata,19.74,54.35,0.56
1990-01-02,Jaipur,19.74,54.35,0.56
1990-01-03,Pune,17.75,80.89,0.08
1990-01-03,Mumbai,17.75,80.89,0.08
1990-01-03,Delhi,17.75,80.89,0.08
1990-01-03,Chennai,17.75,80.89,0.08
1990-01-03,Bangalore,17.75,80.89,0.08
1990-01-03,Hyderabad,17.75,80.89,0.08
1990-01-03,Kolkata,17.75,80.89,0.08
1990-01-03,Jaipur,17.75,80.89,0.08
1990-01-04,Pune,17.08,69.67,4.29
1990-01-04,Mumbai,17.08,69.67,4.29
1990-01-04,Delhi,17.08,69.67,4.29
1990-01-04,Chennai,17.08,69.67,4.29
1990-01-04,Bangalore,17.08,69.67,4.29
1990-01-04,Hyderabad,17.08,69.67,4.29
1990-01-04,Kolkata,17.08,69.67,4.29
1990-01-04,Jaipur,17.08,69.67,4.29
1990-01-05,Pune,13.11,52.23,1.71
1990-01-05,Mumbai,13.11,52.23,1.71
1990-01-05,Delhi,13.11,52.23,1.71
1990-01-05,Chennai,13.11,52.23,1.71
1990-01-05,Bangalore,13.11,52.23,1.71
1990-01-05,Hyderabad,13.11,52.23,1.71
1990-01-05,Kolkata,13.11,52.23,1.71
1990-01-05,Jaipur,13.11,52.23,1.71
