timestamp,region,temperature,rainfall,soil_moisture
2024-06-01 00:00:00,Pune,26.8,0.0,0.346
2024-06-01 06:00:00,Pune,28.25,0.0,0.286
2024-06-01 12:00:00,Pune,24.16,0.0,0.353
2024-06-01 18:00:00,Pune,28.59,3.9,0.399
2024-06-02 00:00:00,Pune,25.9,0.0,0.437
2024-06-02 06:00:00,Mumbai,26.14,5.3,0.312
2024-06-02 12:00:00,Pune,27.41,0.0,0.376
2024-06-02 18:00:00,Mumbai,26.27,0.0,0.299
2024-06-03 00:00:00,Mumbai,26.1,0.0,0.428
2024-06-03 06:00:00,Mumbai,22.72,0.0,0.424
2024-06-03 12:00:00,Mumbai,27.34,0.0,0.353
2024-06-03 18:00:00,Pune,28.97,0.0,0.378
2024-06-04 00:00:00,Nashik,24.74,0.0,0.416
2024-06-04 06:00:00,Nashik,27.39,0.0,0.4
2024-06-04 12:00:00,Pune,26.82,0.0,0.375
2024-06-04 18:00:00,Pune,23.15,0.0,0.451
2024-06-05 00:00:00,Mumbai,22.82,0.0,0.406
2024-06-05 06:00:00,Mumbai,24.67,0.0,0.392
2024-06-05 12:00:00,Pune,27.05,1.8,0.322
2024-06-05 18:00:00,Nashik,24.4,0.0,0.428
2024-06-06 00:00:00,Mumbai,24.81,17.3,0.386
2024-06-06 06:00:00,Pune,27.06,0.0,0.233
2024-06-06 12:00:00,Pune,31.28,0.0,0.359
2024-06-06 18:00:00,Mumbai,24.46,0.0,0.392
2024-06-07 00:00:00,Mumbai,24.44,0.0,0.331
2024-06-07 06:00:00,Pune,23.72,0.0,0.398
2024-06-07 12:00:00,Mumbai,23.99,0.0,0.294
2024-06-07 18:00:00,Mumbai,26.95,0.0,0.381
2024-06-08 00:00:00,Pune,25.0,0.0,0.375
2024-06-08 06:00:00,Nashik,29.67,0.0,0.415
2024-06-08 12:00:00,Nashik,25.6,0.0,0.463
2024-06-08 18:00:00,Nashik,25.41,1.4,0.355
2024-06-09 00:00:00,Mumbai,29.03,0.0,0.437
2024-06-09 06:00:00,Mumbai,24.31,0.0,0.352
2024-06-09 12:00:00,Nashik,26.88,0.0,0.36
2024-06-09 18:00:00,Nashik,30.22,0.0,0.252
2024-06-10 00:00:00,Nashik,30.14,0.0,0.362
2024-06-10 06:00:00,Mumbai,27.56,0.0,0.416
2024-06-10 12:00:00,Nashik,24.0,0.0,0.46
2024-06-10 18:00:00,Nashik,26.73,10.3,0.383
2024-06-11 00:00:00,Mumbai,25.13,0.0,0.412
2024-06-11 06:00:00,Pune,28.86,2.5,0.309
2024-06-11 12:00:00,Nashik,32.33,0.0,0.351
2024-06-11 18:00:00,Pune,37.56,0.0,0.323
2024-06-12 00:00:00,Mumbai,25.45,0.0,0.311
2024-06-12 06:00:00,Pune,28.55,0.0,0.322
2024-06-12 12:00:00,Pune,33.34,0.0,0.38
2024-06-12 18:00:00,Pune,29.83,6.8,0.364
2024-06-13 00:00:00,Nashik,24.16,0.0,0.385
2024-06-13 06:00:00,Pune,29.32,4.1,0.365
2024-06-13 12:00:00,Nashik,29.5,0.0,0.325
2024-06-13 18:00:00,Pune,31.18,0.0,0.357
2024-06-14 00:00:00,Pune,26.86,0.0,0.379
2024-06-14 06:00:00,Mumbai,29.32,11.8,0.481
2024-06-14 12:00:00,Mumbai,26.4,0.0,0.424
2024-06-14 18:00:00,Nashik,28.21,0.0,0.39
2024-06-15 00:00:00,Pune,31.54,0.0,0.302
2024-06-15 06:00:00,Nashik,27.91,0.0,0.361
2024-06-15 12:00:00,Mumbai,25.56,0.0,0.363
2024-06-15 18:00:00,Pune,30.07,0.0,0.311
2024-06-16 00:00:00,Nashik,29.95,0.0,0.318
2024-06-16 06:00:00,Pune,30.61,25.1,0.456
2024-06-16 12:00:00,Pune,28.82,0.0,0.359
2024-06-16 18:00:00,Pune,31.22,0.0,0.394
2024-06-17 00:00:00,Mumbai,26.35,16.8,0.483
2024-06-17 06:00:00,Mumbai,24.68,0.0,0.33
2024-06-17 12:00:00,Mumbai,25.87,0.0,0.285
2024-06-17 18:00:00,Mumbai,27.2,16.9,0.493
2024-06-18 00:00:00,Nashik,27.63,0.0,0.334
2024-06-18 06:00:00,Nashik,25.77,0.0,0.441
2024-06-18 12:00:00,Mumbai,29.04,22.6,0.419
2024-06-18 18:00:00,Nashik,27.14,0.0,0.319
2024-06-19 00:00:00,Nashik,27.27,0.0,0.354
2024-06-19 06:00:00,Mumbai,26.22,0.0,0.364
2024-06-19 12:00:00,Pune,30.93,3.3,0.42
2024-06-19 18:00:00,Nashik,27.62,0.0,0.356
2024-06-20 00:00:00,Mumbai,27.35,0.0,0.444
2024-06-20 06:00:00,Mumbai,25.97,0.0,0.359
2024-06-20 12:00:00,Nashik,26.63,0.0,0.366
2024-06-20 18:00:00,Pune,28.44,0.0,0.321
2024-06-21 00:00:00,Pune,28.9,0.0,0.256
2024-06-21 06:00:00,Mumbai,27.42,0.0,0.337
2024-06-21 12:00:00,Nashik,29.3,0.0,0.314
2024-06-21 18:00:00,Pune,32.63,0.0,0.221
2024-06-22 00:00:00,Pune,30.19,0.0,0.348
2024-06-22 06:00:00,Mumbai,27.59,0.0,0.448
2024-06-22 12:00:00,Nashik,28.46,0.0,0.281
2024-06-22 18:00:00,Pune,33.78,0.0,0.469
2024-06-23 00:00:00,Pune,32.05,6.9,0.435
2024-06-23 06:00:00,Mumbai,27.17,9.6,0.432
2024-06-23 12:00:00,Nashik,30.25,0.0,0.361
2024-06-23 18:00:00,Nashik,28.33,0.0,0.389
2024-06-24 00:00:00,Mumbai,28.96,0.0,0.436
2024-06-24 06:00:00,Pune,29.25,0.0,0.325
2024-06-24 12:00:00,Nashik,29.14,0.0,0.306
2024-06-24 18:00:00,Mumbai,29.87,0.0,0.404
2024-06-25 00:00:00,Nashik,28.45,0.0,0.325
2024-06-25 06:00:00,Mumbai,26.72,0.0,0.298
2024-06-25 12:00:00,Mumbai,29.07,0.0,0.331
2024-06-25 18:00:00,Pune,33.01,0.0,0.312
2024-06-26 00:00:00,Nashik,28.76,2.0,0.427
2024-06-26 06:00:00,Nashik,29.42,0.0,0.314
2024-06-26 12:00:00,Pune,30.03,0.0,0.343
2024-06-26 18:00:00,Nashik,27.93,11.3,0.397
2024-06-27 00:00:00,Pune,32.57,0.0,0.323
2024-06-27 06:00:00,Pune,31.08,0.0,0.302
2024-06-27 12:00:00,Mumbai,34.05,15.0,0.385
2024-06-27 18:00:00,Pune,31.7,0.0,0.294
2024-06-28 00:00:00,Mumbai,29.07,15.7,0.466
2024-06-28 06:00:00,Pune,28.78,0.0,0.267
2024-06-28 12:00:00,Pune,30.28,0.0,0.355
2024-06-28 18:00:00,Pune,31.75,0.0,0.316
2024-06-29 00:00:00,Pune,26.91,0.0,0.258
2024-06-29 06:00:00,Pune,28.94,0.0,0.429
2024-06-29 12:00:00,Mumbai,26.22,0.0,0.433
2024-06-29 18:00:00,Pune,30.78,0.0,0.293
2024-06-30 00:00:00,Pune,36.26,0.0,0.349
2024-06-30 06:00:00,Pune,31.55,0.0,0.402
2024-06-30 12:00:00,Nashik,31.94,0.0,0.472
2024-06-30 18:00:00,Pune,31.96,0.0,0.362
2024-07-01 00:00:00,Mumbai,29.3,9.6,0.44
2024-07-01 06:00:00,Mumbai,25.63,0.0,0.443
2024-07-01 12:00:00,Nashik,33.78,0.0,0.349
2024-07-01 18:00:00,Pune,29.05,0.0,0.366
2024-07-02 00:00:00,Nashik,25.37,0.0,0.386
2024-07-02 06:00:00,Mumbai,29.82,0.0,0.344
2024-07-02 12:00:00,Pune,29.07,0.0,0.342
2024-07-02 18:00:00,Mumbai,29.97,0.0,0.199
2024-07-03 00:00:00,Nashik,28.7,0.0,0.348
2024-07-03 06:00:00,Mumbai,29.69,0.0,0.363
2024-07-03 12:00:00,Pune,28.46,0.0,0.288
2024-07-03 18:00:00,Pune,33.39,0.0,0.345
2024-07-04 00:00:00,Pune,33.0,0.0,0.343
2024-07-04 06:00:00,Mumbai,32.55,8.3,0.345
2024-07-04 12:00:00,Nashik,33.23,0.0,0.324
2024-07-04 18:00:00,Nashik,31.47,0.0,0.27
2024-07-05 00:00:00,Nashik,28.9,0.0,0.339
2024-07-05 06:00:00,Nashik,30.12,0.0,0.27
2024-07-05 12:00:00,Mumbai,30.84,0.0,0.329
2024-07-05 18:00:00,Pune,32.63,0.0,0.399
2024-07-06 00:00:00,Pune,33.87,0.0,0.327
2024-07-06 06:00:00,Mumbai,30.88,0.0,0.408
2024-07-06 12:00:00,Nashik,31.01,0.0,0.304
2024-07-06 18:00:00,Pune,29.35,0.0,0.369
2024-07-07 00:00:00,Nashik,32.47,0.0,0.387
2024-07-07 06:00:00,Nashik,30.42,0.0,0.335
2024-07-07 12:00:00,Pune,33.29,0.0,0.329
2024-07-07 18:00:00,Mumbai,29.72,0.0,0.358
2024-07-08 00:00:00,Pune,34.57,0.0,0.256
2024-07-08 06:00:00,Pune,29.38,0.0,0.358
2024-07-08 12:00:00,Nashik,32.67,0.0,0.365
2024-07-08 18:00:00,Mumbai,29.49,0.0,0.339
2024-07-09 00:00:00,Pune,34.46,0.0,0.246
2024-07-09 06:00:00,Nashik,32.0,0.0,0.321
2024-07-09 12:00:00,Nashik,30.12,0.0,0.323
2024-07-09 18:00:00,Mumbai,31.62,0.0,0.376
2024-07-10 00:00:00,Mumbai,32.12,4.6,0.367
2024-07-10 06:00:00,Nashik,28.87,4.6,0.378
2024-07-10 12:00:00,Pune,31.3,0.0,0.374
2024-07-10 18:00:00,Pune,32.19,3.4,0.266
2024-07-11 00:00:00,Mumbai,28.19,0.0,0.365
2024-07-11 06:00:00,Mumbai,30.23,0.0,0.25
2024-07-11 12:00:00,Mumbai,29.75,0.0,0.368
2024-07-11 18:00:00,Nashik,32.9,0.0,0.276
2024-07-12 00:00:00,Nashik,30.52,0.0,0.318
2024-07-12 06:00:00,Pune,28.46,0.0,0.395
2024-07-12 12:00:00,Pune,29.84,0.0,0.398
2024-07-12 18:00:00,Pune,35.52,0.0,0.339
2024-07-13 00:00:00,Nashik,31.14,0.0,0.335
2024-07-13 06:00:00,Nashik,29.4,0.0,0.444
2024-07-13 12:00:00,Nashik,28.08,3.8,0.362
2024-07-13 18:00:00,Nashik,33.83,0.0,0.359
2024-07-14 00:00:00,Nashik,28.85,0.0,0.327
2024-07-14 06:00:00,Nashik,34.5,0.0,0.34
2024-07-14 12:00:00,Nashik,33.83,6.2,0.388
2024-07-14 18:00:00,Nashik,29.52,0.4,0.379
2024-07-15 00:00:00,Nashik,30.85,0.0,0.365
2024-07-15 06:00:00,Nashik,32.72,0.0,0.307
2024-07-15 12:00:00,Nashik,28.53,0.0,0.359
2024-07-15 18:00:00,Nashik,32.94,0.0,0.331
2024-07-16 00:00:00,Mumbai,31.84,0.0,0.339
2024-07-16 06:00:00,Pune,34.39,0.0,0.304
2024-07-16 12:00:00,Mumbai,30.77,0.0,0.376
2024-07-16 18:00:00,Mumbai,33.63,0.0,0.297
2024-07-17 00:00:00,Pune,36.63,0.0,0.389
2024-07-17 06:00:00,Pune,32.7,0.0,0.378
2024-07-17 12:00:00,Pune,36.18,0.0,0.347
2024-07-17 18:00:00,Nashik,41.99,0.0,0.235
2024-07-18 00:00:00,Pune,32.61,0.0,0.387
2024-07-18 06:00:00,Nashik,32.38,0.0,0.325
2024-07-18 12:00:00,Mumbai,33.75,0.0,0.365
2024-07-18 18:00:00,Pune,36.39,0.0,0.302
2024-07-19 00:00:00,Pune,32.16,0.0,0.369
2024-07-19 06:00:00,Nashik,35.12,0.0,0.286
2024-07-19 12:00:00,Nashik,28.48,0.0,0.271
2024-07-19 18:00:00,Pune,36.31,0.0,0.377
2024-07-20 00:00:00,Nashik,36.69,0.0,0.259
2024-07-20 06:00:00,Pune,34.38,0.0,0.288
2024-07-20 12:00:00,Mumbai,31.5,0.0,0.288
2024-07-20 18:00:00,Pune,35.97,0.0,0.292
2024-07-21 00:00:00,Nashik,29.06,0.0,0.307
2024-07-21 06:00:00,Mumbai,31.74,0.0,0.323
2024-07-21 12:00:00,Pune,30.87,8.4,0.435
2024-07-21 18:00:00,Pune,32.05,0.0,0.399
2024-07-22 00:00:00,Nashik,30.58,0.0,0.349
2024-07-22 06:00:00,Mumbai,33.47,0.0,0.266
2024-07-22 12:00:00,Nashik,36.61,0.0,0.343
2024-07-22 18:00:00,Pune,33.72,4.5,0.406
2024-07-23 00:00:00,Nashik,35.34,0.0,0.345
2024-07-23 06:00:00,Nashik,31.89,0.0,0.324
2024-07-23 12:00:00,Nashik,31.51,5.0,0.338
2024-07-23 18:00:00,Mumbai,41.17,0.0,0.313
2024-07-24 00:00:00,Nashik,27.42,0.0,0.362
2024-07-24 06:00:00,Pune,35.95,0.0,0.309
2024-07-24 12:00:00,Mumbai,33.92,0.0,0.396
2024-07-24 18:00:00,Mumbai,30.62,0.0,0.333
2024-07-25 00:00:00,Pune,37.22,0.0,0.291
2024-07-25 06:00:00,Pune,33.75,0.0,0.29
2024-07-25 12:00:00,Mumbai,30.36,30.7,0.453
2024-07-25 18:00:00,Nashik,34.85,0.0,0.306
2024-07-26 00:00:00,Mumbai,31.82,0.0,0.43
2024-07-26 06:00:00,Mumbai,34.66,0.0,0.344
2024-07-26 12:00:00,Mumbai,32.61,0.0,0.39
2024-07-26 18:00:00,Mumbai,32.73,13.7,0.407
2024-07-27 00:00:00,Pune,36.78,0.0,0.398
2024-07-27 06:00:00,Mumbai,30.82,0.0,0.351
2024-07-27 12:00:00,Mumbai,29.44,13.6,0.394
2024-07-27 18:00:00,Nashik,34.16,0.0,0.3
2024-07-28 00:00:00,Nashik,35.95,0.0,0.325
2024-07-28 06:00:00,Pune,35.65,0.0,0.353
2024-07-28 12:00:00,Nashik,36.61,0.0,0.341
2024-07-28 18:00:00,Nashik,31.12,0.0,0.333
2024-07-29 00:00:00,Mumbai,32.71,0.0,0.371
2024-07-29 06:00:00,Mumbai,34.02,0.0,0.326
2024-07-29 12:00:00,Nashik,35.03,0.0,0.333
2024-07-29 18:00:00,Pune,33.61,0.0,0.354
2024-07-30 00:00:00,Nashik,32.04,6.1,0.443
2024-07-30 06:00:00,Nashik,35.47,0.0,0.332
2024-07-30 12:00:00,Mumbai,34.53,0.0,0.335
2024-07-30 18:00:00,Mumbai,34.0,0.0,0.347
2024-07-31 00:00:00,Pune,36.7,0.0,0.344
