Title,Category,Type,Release Year,Added Year,Duration (Minutes/Episodes),IMDB Rating,Director,Country,Platform
Chernobyl 6,Romance,TV Show,1980,1981,60,7,Steven Spielberg,Spain,Hulu
House of Cards 5,Mystery,Movie,1987,2001,128,9.3,James Cameron,India,Disney+
Inception 1,Action,Movie,2010,2021,77,4.3,Francis Ford Coppola,UK,Netflix
Friends 1,Sci-Fi,TV Show,2002,2010,20,8.4,David Fincher,Japan,Amazon Prime
Sherlock 1,Mystery,Movie,2006,2010,129,7.6,Ridley Scott,UK,Hulu
Interstellar 9,Drama,Movie,2001,2021,163,8,Martin Scorsese,Spain,Netflix
Narcos 3,Romance,Movie,2018,2019,94,6.5,Quentin Tarantino,South Korea,Amazon Prime
The Witcher 10,Crime,Movie,1970,1995,164,8.8,James Cameron,Australia,Amazon Prime
Stranger Things 7,Sci-Fi,TV Show,1997,2019,60,5.3,Steven Spielberg,Japan,Disney+
The Crown 1,Sci-Fi,Movie,2023,2024,120,4.9,Quentin Tarantino,South Korea,Apple TV+
Pulp Fiction 1,Fantasy,TV Show,2020,2024,30,6.4,Steven Spielberg,Spain,HBO Max
Interstellar 9,Comedy,TV Show,1986,2005,30,7.7,Steven Spielberg,USA,Hulu
Game of Thrones 9,Sci-Fi,Movie,2002,2022,109,5.2,Ridley Scott,USA,Disney+
House of Cards 6,Horror,TV Show,1993,2016,70,8.5,Steven Spielberg,Japan,Netflix
Gladiator 8,Fantasy,TV Show,1992,1992,70,5.8,Steven Spielberg,South Korea,Disney+
The Mandalorian 7,Mystery,TV Show,1972,1994,10,9.2,James Cameron,South Korea,Netflix
Avengers: Endgame 8,Romance,Movie,2018,2019,102,5.3,Steven Spielberg,Spain,Hulu
Fight Club 8,Crime,Movie,2005,2016,129,9.5,Francis Ford Coppola,Germany,Disney+
Fight Club 4,Romance,Movie,2022,2022,126,8.8,Ridley Scott,USA,Hulu
Westworld 7,Horror,TV Show,2018,2024,90,8.4,J.J. Abrams,Japan,Hulu
House of Cards 3,Romance,Movie,2006,2015,95,4.6,Francis Ford Coppola,Spain,Hulu
Squid Game 9,Drama,Movie,2014,2024,84,6.6,Steven Spielberg,Australia,Apple TV+
Westworld 1,Mystery,Movie,2005,2014,168,7.5,James Cameron,Japan,Netflix
The Boys 7,Sci-Fi,TV Show,2012,2023,80,7.4,James Cameron,Australia,Apple TV+
The Crown 3,Sci-Fi,Movie,1970,2001,155,9.3,Steven Spielberg,Spain,Disney+
The Dark Knight 4,Thriller,TV Show,2003,2023,70,7.1,J.J. Abrams,India,Amazon Prime
The Crown 9,Romance,TV Show,1991,1998,20,8.7,Ridley Scott,UK,Amazon Prime
Friends 1,Comedy,Movie,1982,2015,74,8.9,Francis Ford Coppola,USA,Disney+
Narcos 5,Thriller,Movie,2014,2015,92,6.2,Denis Villeneuve,India,Disney+
The Godfather 6,Crime,Movie,1998,2002,151,5.2,Ridley Scott,Spain,Apple TV+
Inception 8,Drama,Movie,1999,2024,152,6.3,David Fincher,Spain,Apple TV+
Friends 5,Crime,Movie,2017,2022,114,8.4,Francis Ford Coppola,France,Amazon Prime
The Dark Knight 2,Sci-Fi,TV Show,1970,1983,50,7.5,Francis Ford Coppola,Japan,Hulu
The Office 9,Romance,TV Show,1974,1991,20,4.8,Martin Scorsese,South Korea,Amazon Prime
Inception 5,Romance,Movie,1991,2002,113,5.8,Ridley Scott,Germany,Netflix
